data_as_of,development,tds,consolidated_tds,hud_,program,method,type,number_of_section_8_transition_apartments,number_of_current_apartments,total_number_of_apartments,number_of_rental_rooms,population_public_housing,total_population,percent_fixed_income_households,number_of_residential_bldgs,number_of_stories,total_area_sq_ft,bldg_coverage_sq_ft,density,development_cost,avg_monthly_gross_rent,borough,completion_date,federalized_development,senior_development,electricity_paid_by_residents,private_management,rad_transferred_date
1/1/2025,ARMSTRONG I,210,210,NY005120,FEDERAL,CONVENTIONAL,NEW CONST,,369,371,"1,756.0",,"1,044",,11.0,3-4-6,"252,400.0","94,311",180.0,"$14,648,872",$487,BROOKLYN,1973-05-31,,PARTIALLY,,,2020-02-12
1/1/2025,ARMSTRONG II,228,210,NY005116,FEDERAL,TURNKEY,NEW CONST,,248,248,"1,268.5",,754,,5.0,4,"176,296.4","67,372",186.0,"$7,802,067",$522,BROOKLYN,1974-10-31,,,,,2020-02-12
1/1/2025,ASTORIA,026,026,NY005213I,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,094","1,104","5,562.0","2,601","2,601",0.3746,22.0,6–7,"1,170,203.3","173,434",97.0,"$14,122,000",$726,QUEENS,1951-11-09,1977-07-01,,,,
1/1/2025,ATLANTIC TERMINAL SITE 4B,256,163,NY005189,FEDERAL,TURNKEY,NEW CONST,0.0,299,300,"1,237.5",478,478,0.4642,1.0,31,"87,977.1","15,382",237.0,"$10,797,972",$657,BROOKLYN,1976-04-30,,,,,
1/1/2025,AUDUBON,125,003,NY005365,FEDERAL,CONVENTIONAL,NEW CONST,,167,168,808.0,460,460,0.0038,1.0,20,"28,838.9","9,043",695.0,"$2,817,000",$587,MANHATTAN,1962-04-30,1995-07-13,,,,2023-01-10
1/1/2025,BAILEY AVENUE-WEST 193RD STREET,202,197,NY005106,FEDERAL,CONVENTIONAL,NEW CONST,0.0,233,233,980.5,405,405,0.5498,1.0,20,"102,624.1","13,621",172.0,"$8,091,156",$563,BRONX,1973-05-31,,,,,2025-06-24
1/1/2025,BAISLEY PARK,091,091,NY005038,FEDERAL,CONVENTIONAL,NEW CONST,0.0,379,386,"1,769.5",884,884,0.373,5.0,8,"322,506.3","54,504",119.0,"$5,856,304",$694,QUEENS,1961-04-30,,,,,
1/1/2025,BARUCH,060,060,NY005012,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"2,174","2,194","10,152.0","4,255","4,255",0.4983,17.0,7–13–14,"1,189,764.3","160,098",156.0,"$36,411,155",$619,MANHATTAN,1959-08-06,,,,,
1/1/2025,BARUCH HOUSES ADDITION,198,060,NY005111,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,195,197,639.5,218,218,0.9249,1.0,23,"20,490.3","6,149",463.0,"$6,622,549",$383,MANHATTAN,1977-04-30,,EXCLUSIVELY,,,
1/1/2025,BAY VIEW,092,092,NY005368,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,340.0,"1,608","1,610","7,306.0","2,436","3,141",0.4127,23.0,8,"1,406,080.7","228,305",97.0,"$19,575,470",$650,BROOKLYN,1956-06-07,,,,,
1/1/2025,BAYCHESTER,126,138,NY005367,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,127.0,440,441,"1,863.0",,872,,11.0,6,"358,446.2","66,835",106.0,"$8,099,000",$421,BRONX,1963-10-31,,,,,2018-12-27
1/1/2025,BEACH 41ST STREET-BEACH CHANNEL DRIVE,165,165,NY005086,FEDERAL,CONVENTIONAL,NEW CONST,0.0,712,712,"3,106.0","1,454","1,454",0.3544,4.0,13,"770,750.8","66,756",82.0,"$24,811,000",$623,QUEENS,1973-11-30,,,,,
1/1/2025,BEDFORD-STUYVESANT REHAB,311,073,NY005255,FEDERAL,TURNKEY,REHAB,0.0,84,85,381.0,179,179,0.4444,3.0,4–6,"27,163.2","18,283",287.0,"$5,219,763",$607,BROOKLYN,1983-05-31,,,YES,,
1/1/2025,BELMONT-SUTTER AREA,345,046,NY005282,FEDERAL,TURNKEY,NEW CONST,,72,72,336.0,184,184,0.0025,3.0,3,"77,493.6","24,395",103.0,"$5,373,534",$618,BROOKLYN,1986-02-28,,,YES,,2021-12-28
1/1/2025,BERRY,052,052,NY005271B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,506,506,"2,129.0",864,864,0.5,8.0,6,"521,035.4","77,152",72.0,"$5,929,376",$627,STATEN ISLAND,1950-10-27,1980-10-01,,,,
1/1/2025,BERRY STREET-SOUTH 9TH STREET,357,131,NY005288,FEDERAL,TURNKEY,NEW CONST,,150,150,711.0,,381,,4.0,3-6,"131,271.2","39,559",126.0,"$17,062,418",$544,BROOKLYN,1995-09-30,,,YES,,2020-02-12
1/1/2025,BETANCES I,211,211,NY005121,FEDERAL,CONVENTIONAL,NEW CONST,,309,309,"1,410.5",,710,,13.0,3-4-12-20,"135,235.2","40,862",229.0,"$8,854,586",$465,BRONX,1973-05-31,,PARTIALLY,,,2018-11-16
1/1/2025,"BETANCES II, 13",518,084,NY005118B,FEDERAL,TURNKEY,NEW CONST,,51,51,220.5,,116,,1.0,6,"19,656.2","18,780",257.0,"$1,796,276",$397,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,"BETANCES II, 18",519,145,NY005118C,FEDERAL,TURNKEY,NEW CONST,,78,78,428.0,,259,,2.0,4-6,"46,104.9","9,348",245.0,"$3,447,562",$478,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,"BETANCES II, 9A",220,211,NY005118A,FEDERAL,TURNKEY,NEW CONST,,46,46,208.0,,102,,1.0,4,"22,448.3","15,185",198.0,"$1,675,453",$494,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,"BETANCES III, 13",520,084,NY005134B,FEDERAL,TURNKEY,REHAB,,22,22,117.0,,79,,2.0,5,"21,202.0","3,480",162.0,"$867,345",$394,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,"BETANCES III, 18",521,145,NY005134C,FEDERAL,TURNKEY,REHAB,,19,19,77.5,,44,,1.0,5,"13,111.1","17,906",146.0,"$2,441,684",$412,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,"BETANCES III, 9A",222,211,NY005134A,FEDERAL,TURNKEY,REHAB,,26,26,143.0,,85,,2.0,6,"11,126.0","7,306",333.0,"$1,537,896",$563,BRONX,1973-07-31,,,,,2018-11-16
1/1/2025,BETANCES IV,230,211,NY005135,FEDERAL,TURNKEY,NEW CONST,,282,282,"1,366.0",,769,,8.0,3-4-6,"175,889.9","74,343",190.0,"$10,758,956",$501,BRONX,1973-12-31,,,,,2018-11-16
1/1/2025,BETANCES V,231,211,NY005136,FEDERAL,TURNKEY,REHAB,,100,100,484.0,,317,,6.0,5-6,"45,433.4","30,557",304.0,"$5,877,679",$486,BRONX,1974-02-28,,,,,2018-11-16
1/1/2025,BETANCES VI,285,211,NY005217,FEDERAL,CONVENTIONAL,REHAB,,155,155,726.5,,379,,3.0,5-6,"83,743.1","18,582",197.0,"$10,480,359",$516,BRONX,1982-10-31,,,YES,,2018-11-16
1/1/2025,BETHUNE GARDENS,160,003,NY005070,FEDERAL,CONVENTIONAL,NEW CONST (ELD),,209,210,694.0,250,250,0.0089,1.0,22,"64,915.3","7,751",168.0,"$3,785,397",$338,MANHATTAN,1967-03-31,,EXCLUSIVELY,,,2023-01-10
1/1/2025,BLAND,054,186,NY005213K,FEDERAL,CONVENTIONAL,NEW CONST,0.0,399,400,"1,850.5",730,730,0.4632,5.0,10,"248,264.3","43,237",128.0,"$5,925,000",$696,QUEENS,1952-05-08,1977-07-01,,,,
1/1/2025,BORINQUEN PLAZA I,243,243,NY005175,FEDERAL,TURNKEY,NEW CONST,0.0,504,509,"2,332.0","1,016","1,016",0.549,8.0,7,"261,259.9","96,902",169.0,"$15,625,047",$636,BROOKLYN,1975-02-28,,PARTIALLY (2 BUILDINGS),,,
1/1/2025,BORINQUEN PLAZA II,271,243,NY005195,FEDERAL,TURNKEY,NEW CONST,0.0,421,425,"2,245.5",971,971,0.4352,7.0,7,"186,649.6","61,115",227.0,"$16,411,918",$701,BROOKLYN,1975-12-31,,,,,
1/1/2025,BOSTON ROAD PLAZA,189,039,NY005095,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,212,235,744.0,255,255,0.8626,1.0,20,"84,030.8","15,045",132.0,"$7,125,145",$419,BRONX,1972-08-31,,EXCLUSIVELY,,,2024-09-26
1/1/2025,BOSTON SECOR,138,138,NY005060,FEDERAL,CONVENTIONAL,NEW CONST,0.0,509,538,"2,356.5","1,182","1,182",0.3733,4.0,13–14–17–18,"616,197.4","36,181",84.0,"$11,894,964",$621,BRONX,1969-04-30,,,,,2024-09-26
1/1/2025,BOULEVARD,046,046,NY005369,MIXED FINANCE/LLC2,CONVENTIONAL,NEW CONST,458.0,"1,424","1,441","5,952.0","1,759","2,611",0.0044,18.0,6-14,"1,026,328.2","170,051",111.0,"$13,645,438",$543,BROOKLYN,1951-03-22,,,,,2021-12-28
1/1/2025,BOYNTON AVENUE REHAB,346,032,NY005249,FEDERAL,TURNKEY,REHAB,0.0,81,82,362.5,165,165,0.4815,3.0,4–6,"30,846.8","16,455",233.0,"$4,943,129",$504,BRONX,1985-08-22,,,YES,,
1/1/2025,BRACETTI PLAZA,264,337,NY005185,FEDERAL,TURNKEY,NEW CONST,0.0,107,108,534.5,228,228,0.5686,1.0,7,"45,378.2","18,790",219.0,"$4,364,419",$654,MANHATTAN,1974-05-31,,,,,
1/1/2025,BREUKELEN,056,056,NY005011,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,586","1,595","7,435.0","3,169","3,169",0.3979,30.0,3–7,"2,880,657.2","360,423",48.0,"$18,410,273",$667,BROOKLYN,1952-11-06,,,,,
1/1/2025,BREVOORT,065,065,NY005017,FEDERAL,CONVENTIONAL,NEW CONST,0.0,889,896,"4,167.5","1,737","1,737",0.3888,13.0,7,"737,986.8","121,363",103.0,"$11,831,887",$671,BROOKLYN,1955-08-10,,,,,
1/1/2025,BRONX RIVER,032,032,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,243","1,246","5,935.5","2,746","2,746",0.4435,9.0,14,"581,608.7","84,235",206.0,"$12,719,000",$539,BRONX,1951-02-28,1978-07-01,,,,
1/1/2025,BRONX RIVER ADDITION,157,032,NY005220D,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,225,226,637.5,137,137,0.9024,2.0,6–14,"62,606.5","12,286",95.0,"$3,928,000",$350,BRONX,1966-02-28,1978-07-01,EXCLUSIVELY,,,
1/1/2025,BROWN,325,252,NY005277,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,200,200,700.0,223,223,0.8687,2.0,6,"98,072.1","29,354",99.0,"$13,425,060",$458,BROOKLYN,1985-07-23,,EXCLUSIVELY,YES,,
1/1/2025,BROWNSVILLE,016,016,NY005213D,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,334","1,338","6,270.0","2,744","2,744",0.3645,27.0,3–6–7,"736,860.5","188,564",162.0,"$12,898,000",$655,BROOKLYN,1948-04-16,1977-07-01,,,,
1/1/2025,BRYANT AVENUE-EAST 174TH STREET,235,530,NY005145,FEDERAL,TURNKEY,NEW CONST,0.0,72,72,284.0,145,145,0.4648,1.0,6,"23,139.6","9,879",273.0,"$2,132,334",$663,BRONX,1972-08-31,,,,YES,
1/1/2025,BUSHWICK,086,086,NY005370,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,209.0,"1,217","1,220","5,660.5","2,027","2,468",0.48,8.0,13–20,"638,087.2","78,768",168.0,"$20,346,000",$586,BROOKLYN,1960-04-01,,,,,
1/1/2025,BUSHWICK II (GROUPS A & C),302,247,NY005222,FEDERAL,TURNKEY,NEW CONST,,299,300,"1,446.5",,747,,25.0,3,"480,441.6","102,600",68.0,"$20,840,392",$542,BROOKLYN,1984-07-19,,,YES,,2019-07-18
1/1/2025,BUSHWICK II (GROUPS B & D),303,247,NY005240,FEDERAL,TURNKEY,NEW CONST,,300,300,"1,450.0",,726,,25.0,3,"388,749.3","102,600",81.0,"$19,608,177",$513,BROOKLYN,1984-07-05,,,YES,,2019-07-18
1/1/2025,BUSHWICK II CDA (GROUP E),324,247,NY005263,FEDERAL,TURNKEY,NEW CONST,,276,276,"1,212.0",,543,,5.0,3,"294,107.0","84,230",80.0,"$20,078,888",$473,BROOKLYN,1986-12-10,,,YES,,2019-07-18
1/1/2025,BUTLER,113,113,NY005362,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,469","1,492","7,186.5","3,673","3,673",0.3836,6.0,21,"556,687.3","88,255",287.0,"$29,633,000",$606,BRONX,1964-12-31,1995-07-13,,,,
1/1/2025,CAMPOS PLAZA II,286,337,NY005264,FEDERAL,CONVENTIONAL,NEW CONST,0.0,223,224,"1,083.5",449,449,0.5093,2.0,9–17,"85,220.8","29,149",230.0,"$17,601,547",$792,MANHATTAN,1983-04-30,,,YES,,
1/1/2025,CAREY GARDENS,166,166,NY005088,FEDERAL,CONVENTIONAL,NEW CONST,0.0,679,683,"3,082.5","1,507","1,507",0.4434,3.0,15–17,"374,529.9","58,078",175.0,"$16,996,504",$597,BROOKLYN,1970-11-30,,,,,
1/1/2025,CARLETON MANOR,164,075,NY005073,FEDERAL,CONVENTIONAL,NEW CONST,0.0,169,174,728.5,326,326,0.4207,1.0,11,"143,563.2","14,051",99.0,"$3,373,126",$538,QUEENS,1967-03-31,,,,,
1/1/2025,CARVER,058,058,NY005220E,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,245","1,246","5,765.5","2,470","2,470",0.4608,13.0,6–15,"580,373.7","97,568",185.0,"$24,155,000",$658,MANHATTAN,1958-02-14,1978-07-01,,,,
1/1/2025,CASSIDY-LAFAYETTE,206,117,NY005122,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,378,380,"1,248.0",407,407,0.8953,4.0,6,"223,263.9","54,589",79.0,"$6,866,904",$369,STATEN ISLAND,1971-09-30,,EXCLUSIVELY,,,
1/1/2025,CASTLE HILL,080,080,NY005371,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,409.0,"2,022","2,025","9,759.0","3,436","4,375",0.4217,14.0,12–20,"1,745,665.9","176,917",109.0,"$28,454,000",$611,BRONX,1960-12-15,,,,,
1/1/2025,CHELSEA,134,134,NY005372,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,68.0,423,425,"1,905.5",679,822,0.4326,2.0,21,"76,942.9","18,557",465.0,"$8,776,000",$670,MANHATTAN,1964-05-31,,,,,
1/1/2025,CHELSEA ADDITION,176,134,NY005361,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,95,96,332.5,106,106,0.9634,1.0,14,"45,678.1","14,475",101.0,"$2,402,000",$410,MANHATTAN,1968-04-30,1995-07-13,EXCLUSIVELY,,,
1/1/2025,CLAREMONT PARKWAY-FRANKLIN AVENUE,334,342,NY005253,FEDERAL,TURNKEY,NEW CONST,,173,188,678.5,248,248,0.0068,3.0,3-7,"138,623.8","35,258",78.0,"$12,645,913",$388,BRONX,1986-12-16,,PARTIALLY (1 BUILDING),YES,,2023-09-28
1/1/2025,CLAREMONT REHAB (GROUP 2),307,308,NY005246,FEDERAL,TURNKEY,REHAB,0.0,106,107,455.0,218,218,0.4242,6.0,5–6,"32,669.1","21,948",291.0,"$11,430,362",$511,BRONX,1987-12-31,,,YES,,
1/1/2025,CLAREMONT REHAB (GROUP 3),308,308,NY005223,FEDERAL,TURNKEY,REHAB,0.0,106,115,467.0,222,222,0.3571,5.0,5,"35,880.0","21,985",270.0,"$7,234,594",$579,BRONX,1985-02-28,,,YES,,
1/1/2025,CLAREMONT REHAB (GROUP 4),335,308,NY005273,FEDERAL,TURNKEY,REHAB,0.0,136,150,605.0,272,272,0.3571,9.0,4–5,"47,580.4","29,519",249.0,"$10,283,674",$584,BRONX,1986-10-23,,,YES,,
1/1/2025,CLAREMONT REHAB (GROUP 5),336,308,NY005274,FEDERAL,TURNKEY,REHAB,0.0,126,135,548.0,243,243,0.375,3.0,5,"54,966.7","28,605",193.0,"$8,551,169",$661,BRONX,1985-11-30,,,YES,,
1/1/2025,CLASON POINT GARDENS,011,088,NY005007,FEDERAL,CONVENTIONAL,NEW CONST,0.0,399,401,"1,883.5",785,785,0.4474,46.0,2,"736,462.4","154,304",46.0,"$2,067,000",$730,BRONX,1941-12-20,,,,,
1/1/2025,CLINTON,123,123,NY005045,FEDERAL,CONVENTIONAL,NEW CONST,0.0,747,749,"3,519.5","1,571","1,571",0.4693,6.0,9–18,"237,077.1","51,879",289.0,"$16,774,779",$649,MANHATTAN,1965-10-31,,,,,
1/1/2025,COLLEGE AVENUE-EAST 165TH STREET,236,308,NY005148,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,92,95,297.0,101,101,0.9101,1.0,6,"23,313.3","10,022",189.0,"$2,518,156",$337,BRONX,1972-07-31,,EXCLUSIVELY,,,
1/1/2025,CONEY ISLAND,094,170,NY005363,FEDERAL,CONVENTIONAL,NEW CONST,0.0,532,534,"2,433.0",989,989,0.4798,5.0,14,"240,354.4","38,119",179.0,"$7,728,534",$660,BROOKLYN,1957-02-25,1995-07-13,,,,
1/1/2025,CONEY ISLAND I (SITE 1B),239,166,NY005161,FEDERAL,TURNKEY,NEW CONST,0.0,193,193,954.5,425,425,0.453,1.0,18,"95,454.5","14,078",194.0,"$7,531,412",$596,BROOKLYN,1973-05-31,,,,,
1/1/2025,CONEY ISLAND I (SITE 8),238,172,NY005157,FEDERAL,TURNKEY,NEW CONST,0.0,123,125,621.5,263,263,0.3656,1.0,14,"67,728.2","11,970",169.0,"$5,853,893",$570,BROOKLYN,1973-12-31,,,,,
1/1/2025,CONEY ISLAND I (SITES 4 & 5),216,170,NY005123,FEDERAL,TURNKEY,NEW CONST,0.0,373,376,"1,865.5",889,889,0.3955,1.0,17,"187,028.0","38,750",207.0,"$16,603,000",$678,BROOKLYN,1974-07-31,,,,,
1/1/2025,CONLON LIHFE TOWER,232,091,NY005137,FEDERAL,TURNKEY,NEW CONST (ELD),0.0,214,216,701.0,237,237,0.9024,1.0,13,"51,410.1","11,294",201.0,"$5,835,896",$405,QUEENS,1973-03-31,,EXCLUSIVELY,,,
1/1/2025,COOPER PARK,069,069,NY005023,FEDERAL,CONVENTIONAL,NEW CONST,0.0,698,700,"3,270.0","1,448","1,448",0.4567,11.0,7,"539,446.7","86,767",117.0,"$7,702,277",$653,BROOKLYN,1953-06-25,,,,,
1/1/2025,CORSI HOUSES,199,064,NY005149,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0.0,171,171,512.5,167,167,0.8571,1.0,16,"33,635.7","20,446",216.0,"$6,600,521",$343,MANHATTAN,1973-11-30,,EXCLUSIVELY,,,
1/1/2025,CROWN HEIGHTS,312,351,NY005258,FEDERAL,TURNKEY,REHAB,,116,121,508.0,231,231,0.0033,8.0,4,"52,283.2","31,650",192.0,"$7,974,650",$688,BROOKLYN,1986-09-04,,,YES,,2023-11-28
1/1/2025,CYPRESS HILLS,070,070,NY005220G,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,436","1,444","6,576.0","2,824","2,824",0.4202,15.0,7,"1,252,342.9","223,364",98.0,"$14,773,000",$585,BROOKLYN,1955-05-25,1978-07-01,,,,
1/1/2025,DAVIDSON,190,342,NY005096A,FEDERAL,CONVENTIONAL,NEW CONST,,173,175,830.5,430,430,0.0043,1.0,8,"85,464.3","24,796",219.0,"$8,704,709",$590,BRONX,1973-08-31,,PARTIALLY (1 STAIRHALL),,,2023-09-28
1/1/2025,DE HOSTOS APARTMENTS,155,155,NY005066,FEDERAL,CONVENTIONAL,NEW CONST,0.0,215,223,938.5,438,438,0.4857,1.0,22,"34,310.5","10,319",556.0,"$4,044,899",$598,MANHATTAN,1969-03-28,,,,,
1/1/2025,DOUGLASS,"082, 582",082,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,,"2,048","2,058","9,176.0","3,904","3,904",0.0046,17.0,5–9–12–17–18–20,"866,621.7","138,552",196.0,"$37,441,000",$645,MANHATTAN,1958-09-25,1979-08-01,,,,
1/1/2025,DOUGLASS ADDITION,148,082,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,133,135,660.5,287,287,0.464,1.0,16,"25,272.8","8,884",495.0,"$3,783,000",$662,MANHATTAN,1965-06-30,1979-08-01,,,,
1/1/2025,DOUGLASS I,082,082,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,294","1,305","5,769.0","2,406","2,406",0.4696,11.0,5–9–12–17–20,"516,560.2","94,508",203.0,"$22,701,754",$620,MANHATTAN,1958-09-25,1979-08-01,,,,
1/1/2025,DOUGLASS II,582,082,NY005244B,FEDERAL,CONVENTIONAL,NEW CONST,0.0,750,753,"3,457.0","1,498","1,498",0.451,6.0,9–12–17–18–20,"350,061.5","44,044",186.0,"$14,739,246",$686,MANHATTAN,1958-09-25,1979-08-01,,,,
1/1/2025,DREW-HAMILTON,111,111,NY005373,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,278.0,"1,211","1,217","5,344.5","1,839","2,345",0.4332,5.0,21,"298,347.5","74,433",342.0,"$25,146,000",$576,MANHATTAN,1965-09-30,,,,,
1/1/2025,DYCKMAN,041,041,NY005183A,FEDERAL,CONVENTIONAL,NEW CONST,0.0,"1,163","1,167","5,042.5","1,966","1,966",0.5338,7.0,14,"566,569.9","80,457",151.0,"$14,202,915",$626,MANHATTAN,1951-04-25,1972-06-29,,,,
1/1/2025,EAGLE AVENUE-EAST 163RD STREET,224,059,NY005165,FEDERAL,TURNKEY,NEW CONST,,66,66,279.0,138,138,0.0037,1.0,6,"28,363.0","9,828",212.0,"$1,710,901",$530,BRONX,1971-05-31,,,,,2023-09-28
1/1/2025,EAST 152ND STREET-COURTLANDT AVENUE,237,028,NY005154,FEDERAL,TURNKEY,NEW CONST,0.0,221,221,913.5,326,326,0.7056,2.0,11–14,"64,403.7","21,301",220.0,"$7,717,944",$515,BRONX,1973-08-31,,PARTIALLY (1 BUILDING),,,
1/1/2025,EAST 165TH STREET-BRYANT AVENUE,304,530,NY005226,FEDERAL,TURNKEY,NEW CONST,0.0,111,111,588.5,347,347,0.1818,5.0,3,"143,200.4","41,134",106.0,"$8,178,643",$778,BRONX,1987-10-31,,,YES,YES,
1/1/2025,EAST 173RD STREET-VYSE AVENUE,338,530,NY005252,FEDERAL,TURNKEY,NEW CONST,0.0,168,168,758.0,364,364,0.3148,7.0,3,"195,177.7","59,524",81.0,"$12,629,936",$714,BRONX,1987-10-31,,,YES,YES,
1/1/2025,EAST 180TH STREET-MONTEREY AVENUE,208,180,NY005124,FEDERAL,CONVENTIONAL,NEW CONST,0.0,239,239,"1,052.5",474,474,0.4615,1.0,10,"71,458.5","30,800",289.0,"$8,727,000",$559,BRONX,1973-09-30,,,,,2025-06-24
